#{"t_start": 1761663077.470182, "env_id": "None"}
r,l,t
-68.313333,968,2.502691
-79.065667,1518,4.040289
-69.954,2417,6.316423
-68.341333,680,7.527403
-84.235667,1813,10.04017
-63.754333,978,18.806426
-90.028333,1781,24.409111
-79.239333,1365,31.52504
-115.185333,1797,35.551441
-39.928333,1416,38.559005
-95.184,1609,47.680198
-34.479667,1440,50.052554
-79.422333,777,51.661449
-63.992333,1113,53.438481
-83.105667,625,54.686572
-104.533333,1435,56.676826
-84.314,1004,58.359934
-78.394,799,59.846005
68.577667,340,60.857181
-23.365238,2313,69.098708
95.490143,2700,72.467294
-29.860714,2174,75.401994
-63.831333,1148,77.186661
73.674,340,84.107959
-78.781333,1261,86.853943
-74.493333,1895,91.726852
-79.160667,724,94.533186
-63.632,949,97.25714
51.115619,2700,101.997339
-81.840905,1816,115.51081
-64.506667,1071,117.663044
-74.066667,1417,119.892316
-88.742,784,121.473484
-99.433,1060,123.334171
-68.795,931,125.037533
-66.567333,766,126.581122
24.991524,2096,135.759027
-31.880095,2665,139.409126
73.637,340,140.428681
-79.683667,1960,143.295958
-93.412667,691,144.70516
-109.137333,1403,152.722985
-103.362,1011,154.774445
-100.097333,2113,157.857068
-78.813667,925,159.51616
-83.708667,1205,161.819133
-84.236667,1216,164.833596
-75.626667,2022,173.971073
-64.061333,1489,176.396894
-79.013667,1037,178.202297
-64.503333,1737,180.700341
-79.922,2067,183.580368
54.414667,2700,193.202941
-104.363667,1442,195.584474
-78.586714,1101,197.526989
-84.045667,1543,199.888669
-84.395,936,201.553328
-93.964333,875,203.207861
-64.731333,1791,211.659047
-66.024667,1935,214.520911
-89.744333,1805,217.642771
-149.526,1505,219.915535
63.888333,414,221.132377
93.636,340,222.214011
-69.727333,2168,230.431393
-63.468,709,231.805397
-75.197667,1139,233.615835
-74.640667,2005,236.280348
83.616,340,237.210371
-83.756,1125,239.075542
-140.076,2074,247.363901
-12.592381,2700,251.899925
-87.886381,1183,255.028018
63.418667,1031,257.367678
-67.874667,1301,260.149997
-75.586667,916,262.209104
-53.797762,1627,271.220813
67.402,1513,274.138742
-67.845333,1140,276.471249
-67.263333,876,278.45233
-41.603619,1562,282.268835
-68.139667,920,284.371123
13.313667,1087,292.061647
-108.207,1646,295.099871
-62.534,932,297.111825
-75.273667,815,298.974811
73.671333,340,299.960938
53.108524,805,301.895959
58.016667,1273,304.389006
-53.387952,1591,307.166499
72.978,1016,315.876028
-76.544667,1300,318.568273
73.637667,340,319.553692
-75.317667,837,321.444306
-67.563333,1052,323.815472
58.898571,938,325.799128
-94.997381,1583,328.128075
-83.270333,600,329.683312
77.353333,1113,337.270024
73.011667,1688,340.414494
63.715,340,341.376018
-74.162667,1102,343.660874
-82.941952,1510,346.614864
-59.517,1880,349.948722
62.97919,1122,352.14136
67.930333,1456,362.005478
-18.354667,1231,364.738658
93.540333,414,365.943979
-98.495667,868,367.699836
88.564,414,368.818074
73.489333,766,370.793127
67.535429,1532,373.944612
-67.932571,1685,382.887889
73.500667,414,384.179926
63.076,1276,386.859651
18.268,1274,389.743323
-58.452476,2034,393.485644
73.077667,845,395.489585
-29.035429,1941,399.266588
33.546333,1166,408.40913
118.659333,340,409.485231
62.110333,1264,412.096745
62.842381,1302,414.801544
43.158333,1457,417.701309
62.602667,894,419.858018
77.794714,1325,422.517205
-50.171429,2127,431.508177
78.518333,414,432.636154
62.429619,1441,435.825256
-62.584667,1048,438.603113
-70.15,1915,442.940077
63.591667,797,445.22902
33.028667,1392,454.019272
