#{"t_start": 1761603564.3540397, "env_id": "None"}
r,l,t
-3689.666304,414,2.862946
3310.903835,340,4.299615
3310.202775,340,21.346111
761.565867,340,22.656744
-24327.737509,1320,42.50359
-5165.69471,340,57.900978
-10353.683467,419,59.396946
-17218.177446,1719,92.3629
3309.166714,343,93.73535
3311.980796,340,94.975964
667.240259,340,111.583141
-8393.892388,414,112.978733
-33491.3458,1096,132.005813
-16757.395152,1723,167.105499
-22343.524394,1934,202.03032
-6262.500409,340,203.307594
-30209.259154,2700,258.490292
3176.338402,339,259.902429
-504.2032,340,275.864571
1734.880259,358,277.624364
-19328.308885,1078,298.870207
3276.410441,340,300.134788
-15140.389625,2700,352.610817
-21120.01234,1784,387.035298
-31314.291724,1652,421.651255
-5691.6817,340,423.098543
2894.55539,340,424.391382
