#{"t_start": 1761605185.5819416, "env_id": "None"}
r,l,t
-695.505596,973,3.13343
-504.717859,2363,58.045911
-525.659148,1622,76.343558
-512.077087,2338,124.512648
73.424062,340,125.875448
-617.909809,1266,144.912041
71.499732,340,161.725899
-6.893676,347,163.048824
-556.692256,2225,197.628301
-132.890097,414,213.370558
-188.511661,2700,249.957862
76.239211,414,267.266072
-144.521952,427,268.817652
-203.187925,340,288.522631
62.590435,412,290.096835
-134.490404,414,291.482928
71.168918,340,309.499238
-552.281845,1074,327.831764
-511.273302,2064,362.723258
69.428749,428,364.236733
76.161266,340,381.696451
74.170479,340,383.053387
-140.299317,426,384.465108
-536.921604,1837,421.8378
-317.415877,414,438.428147
-483.096384,1657,456.563615
-107.637158,426,472.14852
71.577176,414,473.654147
-560.322209,1200,491.43862
75.728011,340,506.240463
74.950341,340,507.579984
-156.493353,409,508.896514
76.427957,340,526.133351
74.021422,340,527.386713
76.659843,340,544.681602
74.981839,340,545.996198
-207.343026,414,547.360162
74.70895,414,564.949229
76.806998,340,566.331112
-514.772929,1385,584.951269
64.226692,415,600.467039
-128.305681,414,601.930996
74.757014,340,617.568664
-151.00267,417,619.115043
-478.711904,1759,651.657853
-545.19253,651,653.615314
70.3052,340,668.716201
63.396543,340,670.087426
70.740252,340,671.318112
46.816331,426,689.448851
-122.810868,340,690.834621
-627.618037,1022,708.385606
108.567395,1371,741.859478
-596.597224,910,744.652533
72.179545,340,761.647642
-562.326944,1380,780.344691
-301.902587,414,797.033821
76.586553,340,798.383583
72.724911,423,799.756159
76.7673,417,816.205153
-560.728385,2087,851.541738
58.829866,414,853.027575
-661.350783,1901,887.179547
-150.141682,340,902.271394
-554.610966,1704,920.489455
-149.53307,414,937.319792
74.943193,340,938.288149
-575.691654,1426,957.235343
74.145213,340,973.801504
-136.429633,340,975.188528
-566.144078,729,992.138802
-504.152256,1296,1009.903712
-142.654565,442,1025.364163
-142.272042,424,1026.890215
-371.154533,2599,1074.693406
76.068354,340,1076.055234
-232.39637,414,1077.394246
-180.919449,423,1095.056514
-184.135823,414,1096.523759
-551.633358,1780,1132.514117
41.394012,423,1134.009406
68.677505,340,1150.235259
-523.490528,1402,1168.281381
-501.872185,1253,1185.606555
73.732127,340,1201.004882
-597.14491,2408,1236.771997
-122.688045,431,1252.477994
-81.050882,426,1254.019196
73.421668,340,1255.262479
73.657995,418,1272.676151
72.05305,414,1274.09323
77.778922,353,1290.334043
-540.525752,2518,1325.942015
77.268,340,1327.272213
76.380723,340,1344.573694
75.425826,340,1345.944807
-143.296679,340,1347.201566
-199.754095,415,1364.79137
76.083698,340,1366.101663
-133.659566,340,1367.325035
-139.324992,417,1384.63912
-186.498722,420,1386.061767
-735.926071,1805,1420.708297
-1.797052,412,1436.301972
74.513745,340,1437.643932
-130.089649,414,1439.001633
-364.750759,420,1456.643203
-701.355428,2091,1489.879579
75.78298,426,1491.382135
-174.156105,406,1508.523397
-541.810699,1209,1527.363612
-138.540374,340,1528.716461
-617.181108,751,1546.772774
-145.290291,414,1548.19092
-535.21985,1856,1581.619625
-597.339498,2172,1617.659157
-545.264795,866,1635.474293
-605.302202,839,1652.918284
-508.257132,1616,1685.378317
76.541289,340,1686.741221
81.36578,374,1688.05502
78.103262,414,1704.602176
-389.437689,949,1722.925395
-214.214728,414,1724.348134
-114.390707,2287,1760.74645
-581.542239,563,1776.893675
-199.40719,423,1778.34087
-184.56643,418,1794.524718
73.000865,340,1795.786506
74.670109,340,1811.538303
-300.518085,414,1813.052134
63.75573,414,1814.418332
-149.510133,414,1831.11625
73.923667,340,1832.482381
-539.464424,1206,1855.826001
76.425179,340,1878.474156
-573.479679,644,1881.327673
-523.838301,2700,1951.839712
74.810844,340,1953.803532
-628.397581,2242,2026.518466
73.369752,340,2028.698667
-136.930525,414,2030.637157
-361.293289,2198,2104.836577
-143.171809,424,2106.995933
-400.282612,2700,2182.796302
-212.676208,426,2185.091861
-521.769778,2475,2260.643157
-630.585939,1247,2287.674309
-528.740795,1945,2337.42027
-411.903912,2700,2382.15268
76.47172,340,2401.476902
75.652898,414,2403.123784
-234.207312,414,2420.867167
-154.50532,414,2422.383911
75.436091,415,2423.808835
