#{"t_start": 1761614047.041809, "env_id": "None"}
r,l,t
-682.242752,340,2.423166
3308.12906,340,3.398528
1544.306793,425,4.4373
-7393.223895,340,5.367902
-740.409101,414,6.33307
2179.828236,340,7.210568
2205.876312,340,8.07712
-9629.912416,1093,9.598368
2588.55403,414,10.462804
-3235.602245,414,11.355185
2560.610011,414,12.272187
-15504.793521,1194,13.862631
1322.11431,416,14.884562
-634.431434,340,15.80969
1789.675488,340,16.700304
2678.156031,417,17.645582
-5035.880507,414,18.558338
-8468.418965,437,22.70354
1583.945398,340,23.528984
-2978.333136,340,24.37324
-6853.54782,423,25.307227
3442.698582,340,26.136216
-16556.414385,414,27.022995
-5392.617883,414,27.924153
-10202.641154,414,28.804029
-7520.469491,414,29.782084
3015.758293,340,30.670219
-25700.05742,950,32.048046
-7877.741638,340,32.908414
-1007.358164,411,33.801112
-15890.899835,1221,35.406053
3753.074283,417,36.298607
3311.954142,340,37.102923
3414.455596,340,37.920873
3481.730871,340,41.93317
-10804.985154,414,42.913212
-14306.097839,435,43.859296
638.420994,340,44.721187
-9198.810106,414,45.62518
-11732.160053,933,46.982179
-761.040838,446,47.881968
3105.105688,414,48.771781
-6127.939273,414,49.669346
-1190.793855,414,50.545233
-9685.833562,426,51.488266
3502.434048,340,52.342453
1895.061729,340,53.211658
-1262.265145,340,54.072129
3106.819388,340,54.925107
-8100.653652,416,55.837527
-5535.09278,414,56.746767
-7383.901631,340,57.59325
-12737.755182,414,58.51327
2971.690809,351,59.393025
1361.424785,452,63.448542
3420.323185,340,64.287471
-2175.174095,340,65.128599
-7009.128979,340,65.959798
-15576.602091,414,66.846117
-23330.462361,769,68.045696
-9415.487637,414,68.930027
-5675.147412,414,69.853653
2464.756907,340,70.731075
-32758.54634,893,72.060576
-2341.280864,340,72.91826
-9339.849113,340,73.754795
1301.833747,414,74.662322
3616.385483,340,75.517034
-856.166153,340,76.364136
-8749.223992,340,77.201306
3111.929362,340,77.997974
2123.55857,340,78.814798
1080.008404,426,79.731361
-11561.733268,412,83.733181
2883.821071,340,84.640455
-8362.251633,414,85.571328
-8290.587404,414,86.482894
-6200.859314,414,87.381877
-10713.768793,414,88.286816
-11123.397512,340,89.282957
-7551.753279,414,90.258518
-9036.600535,340,91.083641
-7952.544885,426,91.983773
-18133.845211,946,93.353567
624.280036,340,94.218879
3458.856603,340,95.058612
2407.355719,340,95.897087
1423.168941,340,96.736612
1448.679183,419,97.637266
3264.700532,340,98.481438
-8016.706118,442,99.412736
1018.720601,340,100.253542
-11744.892237,414,101.14946
3526.679278,340,105.039057
977.840532,414,105.979238
-30466.404819,1195,107.554056
1928.979151,340,108.386032
902.688667,414,109.283047
-15808.825542,446,110.198796
802.353054,437,111.152929
1904.84103,414,112.087013
2553.436411,340,112.939621
-289.275095,414,113.86285
-7475.15745,414,114.776511
