#{"t_start": 1761617022.1620889, "env_id": "None"}
r,l,t
-776.163403,1243,3.327914
-10430.868567,896,4.967216
-3278.881341,422,5.877863
3212.025656,340,6.76842
3264.757569,340,7.702664
3648.186482,340,8.643275
-1905.505157,414,9.61649
358.706655,1278,11.575772
-5283.17028,1769,13.613117
-6687.586002,414,14.534314
2840.928383,410,15.493365
-21261.604374,1428,21.176907
3692.764929,340,22.017
1653.337734,414,22.929648
-9639.460363,982,24.84975
-812.868419,1283,27.519918
3083.626008,340,28.550854
-3706.312337,2565,32.592433
-9394.984348,422,33.649992
3078.207019,340,34.675677
-6531.92419,1137,40.938417
1661.773834,1882,44.571685
2943.726035,340,45.608767
-5417.729705,414,46.801255
-7187.418555,414,47.989862
3841.216618,340,49.033269
-4819.522287,414,50.159677
-9459.658654,420,51.148432
3534.638523,340,52.154371
2973.958025,340,53.267482
-9358.517818,1193,55.510348
-12500.766016,414,56.564251
-682.985751,414,57.689531
3128.330392,422,62.603755
3670.029838,340,63.688522
-10016.282189,817,65.725427
2977.681842,340,66.828079
-3254.405111,632,68.48784
-13596.932032,854,70.591104
-16759.054874,1642,73.673298
941.972149,340,74.806891
3054.959375,340,76.071485
-8615.038359,412,77.416051
-4389.037535,700,79.286127
2944.083267,340,80.235492
-693.128477,414,81.435978
-17746.039965,1406,89.010103
-1429.499065,1146,91.351831
-29.818175,450,92.455176
-24.856863,340,93.389518
2820.878179,340,94.291846
-3549.462539,443,95.262848
1679.481028,340,96.151623
3532.126312,340,97.042023
-100.616836,414,97.991705
3277.215172,340,98.87478
-9538.023511,1329,101.499899
963.596234,414,102.653044
-13058.224887,414,103.597105
-2097.636764,2130,109.877077
-12477.258453,1473,112.03463
-105.231461,1403,114.118164
-7320.37525,1983,116.963639
-6294.615924,418,117.880541
3514.784367,340,118.770801
-237.830644,340,119.657341
-1057.854949,985,121.356258
3732.808355,340,125.665997
3463.48078,340,126.785431
-4957.895535,942,128.542718
1926.334849,2204,131.702771
2910.312371,414,132.635254
-8395.267971,1261,134.664672
2986.70208,414,135.594824
-449.736617,1220,137.479305
1947.773697,414,138.360173
-22269.961372,1339,143.806141
3603.026882,340,144.800241
1859.782496,414,145.788048
3655.450152,340,146.674983
-8358.385563,1643,149.208076
3694.7941,340,150.019407
3586.824993,414,150.942357
-394.581884,340,151.841165
3218.716128,340,152.731873
818.074144,424,153.68438
3120.051891,340,154.547653
-10790.123464,340,155.427078
3672.512309,414,156.365513
3466.311407,340,157.266818
-793.026782,340,158.164828
1833.060069,340,159.081974
-10719.626805,414,160.034072
-21086.554611,1884,165.885997
-7064.49292,816,167.392914
-8856.378418,426,168.314526
2018.184503,1329,170.367439
-15464.102016,2000,173.172332
3816.94343,340,173.971191
89.002811,1296,176.001826
1108.13539,414,180.019149
589.689471,340,180.979728
-5325.166566,941,182.432122
3370.704646,407,183.353161
2706.909694,645,184.638483
-5532.747836,1387,187.071242
-834.675614,414,188.011296
-6342.268314,340,188.900133
-27787.170398,1320,190.973266
-29033.345423,1288,192.994619
-5330.960001,414,193.933053
2627.457259,418,194.865055
3089.72797,340,198.879147
2214.342224,424,199.939749
-8322.436216,414,200.904186
2609.93759,340,201.808866
149.464226,340,202.702648
-11813.295764,1144,204.649372
-554.769649,340,205.492241
1574.922894,340,206.387746
3223.616555,340,207.305735
1383.269415,426,208.280557
-7178.835491,418,209.178243
1873.913656,416,210.101239
