#{"t_start": 1761658741.310066, "env_id": "None"}
r,l,t
-23446.254956,1296,4.527807
-24618.932572,1950,6.977031
-24040.645003,1729,9.22006
-8576.626194,1507,11.264116
-15861.456436,2700,17.810153
-10518.608173,916,19.205711
-20251.784675,1881,21.392985
-17578.411225,1528,23.180307
-15605.336401,1076,24.657033
-21202.407468,866,25.988157
-17988.800064,1210,32.433863
-26083.758579,1361,34.584097
-24077.086201,1645,36.94687
-16346.393289,1166,38.7487
-19112.012527,2700,41.843087
-23536.366295,1718,50.55451
-19411.258783,897,56.113237
-16507.761258,1265,60.812997
-3819.937529,1404,64.441985
-24553.188509,838,67.063201
-24805.726755,1541,70.915119
-19309.028394,1917,79.605624
-23504.260578,1059,82.307931
-19054.562466,1058,85.01287
-18653.720332,1160,87.658804
-19917.648863,1112,90.360491
-19903.5701,1129,92.588827
-15678.432667,1285,94.968087
-16309.094198,1209,101.20334
-2959.882091,1554,103.632883
-15889.116657,2565,107.258596
-18428.375669,1446,109.612917
-9041.519033,2700,117.135784
-19471.276108,912,118.964644
-4346.727707,775,120.676995
-16450.842613,1676,123.081933
-25330.83552,1386,125.320177
-15724.510075,2275,128.383276
-10670.956446,414,133.182761
-21629.13985,2496,136.448467
-10914.36671,2118,139.36102
-21207.910355,1505,142.081213
-17378.894787,2700,150.215778
-20263.161134,2576,153.745703
-19522.082566,1750,156.329762
-14958.020719,1175,158.352077
-13544.13268,1305,160.654745
-17013.086185,2002,167.629818
-14735.037936,903,169.271221
2556.12227,340,170.250082
-29123.266946,1262,172.1866
-23305.632078,1699,174.808607
-5042.045179,1389,177.007621
-28321.989483,1293,183.215604
-29165.93285,2121,185.94192
-14538.877044,1485,188.06539
-15260.752601,2113,191.056156
-31097.458602,1833,193.917921
-21139.795705,1587,200.774017
-14963.83457,2353,204.200603
-4298.169825,2700,207.861671
-27005.426376,2420,215.322984
-18131.117267,1236,217.592794
-19751.499411,1710,220.379984
-21704.724793,1467,223.501205
3258.602758,340,224.90713
-22391.25775,1438,227.414939
-18870.200964,2135,233.601165
-6353.311634,422,234.492698
-19828.967662,2005,236.756006
-10632.614492,442,237.686049
-17325.661921,1306,239.426326
-16129.880352,1925,241.598978
-5560.638768,2041,247.000283
-22264.913666,1938,249.176699
-38752.818722,1154,250.651599
-475.613556,340,251.488728
-21952.054646,1295,253.166194
-15440.476164,880,254.425615
-13456.120309,1539,259.25692
-26793.256091,1552,261.214183
-15749.166511,2090,263.536868
-22010.136942,1653,265.440046
-8517.801832,1199,266.967987
-11741.118178,1692,272.017632
-15866.985355,1572,273.998533
-25373.336406,659,275.073945
-20590.625918,1741,277.052592
-12534.002505,2700,279.760992
-13875.680813,1461,285.306523
-23681.429024,2301,287.897511
-24028.229329,2024,290.111488
-12088.401218,763,291.319355
-33039.554488,2166,293.595551
-8884.863573,1742,298.820633
-6180.792863,1707,300.808381
-23456.525177,1179,302.340408
-11284.907689,1924,304.462661
