#{"t_start": 1761694551.8166358, "env_id": "None"}
r,l,t
-268.0,1578,4.906733
-256.0,414,6.284235
-39.0,1731,9.634907
-316.0,816,11.43332
-348.0,446,12.702535
-218.0,1538,15.38183
-49.0,1681,21.65745
-1176.0,1398,24.286708
56.0,340,25.362301
-721.0,1687,28.17972
-742.0,2196,32.511466
-540.0,858,35.054566
-485.0,1303,37.993804
-194.0,932,46.195925
-694.0,1010,48.647211
21.0,1405,51.528909
-439.0,887,53.28658
-293.0,1699,56.197642
-286.0,2548,63.87331
168.0,1354,66.570055
-380.0,864,68.846605
-180.0,340,70.078132
-954.0,2700,74.902722
-169.0,1361,77.68701
-196.0,340,78.848941
90.0,2346,86.227177
-132.0,1458,88.902081
16.0,340,90.001161
-515.0,1941,93.612745
-1057.0,1809,96.882107
61.0,1251,102.825177
-234.0,878,104.720894
-564.0,1650,107.754493
57.0,1543,110.625254
369.0,1473,113.46318
-58.0,414,114.692973
420.0,2626,123.264342
347.0,1935,126.622392
-317.0,853,128.549888
-519.0,1267,131.139664
-423.0,1179,133.432639
178.0,1996,136.786042
575.0,2695,144.975181
710.0,2130,148.93737
-93.0,945,151.04157
-31.0,1097,153.340605
199.0,1305,155.874929
-142.0,532,160.690883
602.0,1278,163.354092
22.0,340,164.559898
-881.0,2017,168.211432
-538.0,1436,170.981579
-208.0,340,172.206538
195.0,1305,174.772946
-918.0,1322,180.97727
341.0,1421,184.01124
146.0,874,185.894727
14.0,1030,188.081138
254.0,1608,191.015917
345.0,1019,193.316143
-56.0,1076,195.568948
424.0,1586,202.169701
-319.0,777,204.013011
-303.0,963,206.236221
229.0,1463,209.022791
280.0,414,210.302795
-71.0,1149,212.700274
479.0,2077,216.522619
-745.0,1039,222.242951
-548.0,894,224.26273
-49.0,1117,226.682461
-154.0,416,228.044343
-825.0,1203,230.485766
221.0,1671,233.72396
164.0,340,234.939886
430.0,1190,237.338859
-154.0,340,238.603383
518.0,1420,245.477314
76.0,340,246.70899
-142.0,340,247.957691
-33.0,1079,250.279631
513.0,1349,252.888804
-299.0,1337,256.067479
-256.0,340,257.645081
89.0,1657,261.052004
-947.0,1761,268.029517
-714.0,1446,270.934512
-115.0,1093,273.519312
243.0,1011,275.858771
-196.0,1018,278.171425
221.0,897,280.191755
234.0,1826,287.2543
854.0,2700,292.225755
896.0,1854,296.014115
-221.0,597,297.726764
-321.0,833,299.820853
-1042.0,1624,303.69156
32.0,414,308.948703
-291.0,1955,313.621021
206.0,1144,316.141001
-265.0,791,318.712989
509.0,2051,322.921644
23.0,1219,325.883865
-84.0,340,327.178435
-573.0,1009,333.395273
-244.0,718,335.551896
124.0,414,337.005373
474.0,1154,339.863487
-211.0,531,341.610423
-374.0,1136,344.498659
245.0,1319,347.573728
-216.0,656,349.701382
1229.0,1909,357.32796
-394.0,962,360.362663
-252.0,880,362.684276
-143.0,1177,365.839616
-534.0,912,368.853266
563.0,1213,372.203596
436.0,1148,375.397121
63.0,425,377.069574
207.0,861,379.748095
833.0,2171,388.207811
0.0,432,390.254226
-289.0,421,392.160795
-228.0,414,393.819297
1071.0,2081,398.202101
140.0,872,400.493729
-369.0,887,403.028514
-119.0,667,405.14193
-367.0,757,411.153366
-196.0,622,413.114388
-198.0,414,414.658799
130.0,804,416.818823
-345.0,659,418.700317
329.0,1427,422.006352
79.0,1501,425.67539
