#{"t_start": 1762123768.8866038, "env_id": "None"}
r,l,t
89.193243,414,4.492051
-482.214635,2390,11.94554
-88.268717,340,14.261189
220.174292,1203,21.018454
-139.765771,775,24.193002
117.600455,414,25.852024
119.571501,414,27.38816
129.940227,340,29.001641
140.907746,340,31.094196
160.079403,1764,39.69696
-155.773529,1281,43.305058
-68.799978,340,44.8878
-373.023316,414,47.670427
-209.294851,340,49.877969
-328.102096,414,51.58807
194.726999,340,53.441949
99.149604,849,59.292274
-261.848639,1510,64.742002
-495.292558,1780,69.737559
149.111344,880,75.210457
40.699393,417,76.963331
-176.375455,2185,82.272471
-74.506199,340,83.488285
-68.210543,414,85.033222
175.481482,340,86.293303
-91.819476,340,91.853292
272.067108,911,94.007431
-137.25793,750,95.709835
-432.145462,691,97.546336
167.110902,425,99.897681
266.663378,1547,106.396321
160.06258,414,107.743634
427.362141,2288,112.771186
100.870656,340,114.320788
14.323339,340,115.51814
235.279847,340,116.878434
-56.39238,414,121.712558
475.601024,1921,125.643572
-73.43672,893,128.395484
207.357149,1868,135.675788
-123.685772,340,138.212993
-251.575007,992,140.720078
444.026751,1142,143.738431
-132.463286,888,150.926209
145.358048,340,152.640579
-430.784965,2115,158.996228
-362.43052,2700,171.98828
125.906017,414,173.382549
88.63666,414,174.97694
206.64957,902,177.60087
-63.613896,1841,184.830961
503.586929,1109,187.266235
222.002609,340,188.735456
274.275175,423,190.309247
394.79638,773,192.393346
82.079331,493,194.633666
483.737085,1994,206.836289
256.11268,414,209.154615
164.332909,340,211.054231
191.602757,1304,215.822981
593.222524,1364,223.327122
171.544494,340,224.577059
281.206265,1658,228.75246
292.065329,414,230.481954
328.465391,1782,239.034295
270.33366,340,240.300076
181.199614,414,241.62229
163.411538,414,243.335343
644.006398,1288,246.702508
344.815032,758,253.168196
760.051674,1128,255.700254
462.247755,1673,259.525361
406.904571,984,265.028555
326.520001,420,266.083926
56.015485,414,267.262461
191.207193,1392,269.656087
1240.200014,1910,275.870708
79.670933,340,277.002409
170.175475,414,278.235234
422.805652,414,279.416374
360.963263,1109,281.536881
688.83029,1012,283.84301
138.371083,340,284.975902
398.844794,1041,290.209801
370.531168,340,291.294296
231.55227,340,292.462375
90.594672,340,293.525495
138.830876,340,294.517215
214.651176,425,295.69262
633.911715,998,297.792559
262.673695,796,302.589035
777.260035,809,304.339249
296.419066,340,305.437961
247.790139,340,306.610386
100.383992,902,308.56683
270.716091,340,309.80344
880.841026,1030,312.24751
425.459989,1042,318.518549
538.761625,682,320.155931
336.291254,424,321.378887
233.404753,964,323.660321
523.826682,803,325.504648
316.965838,414,329.002966
523.653797,538,330.701344
160.025514,340,331.98896
97.208616,414,333.386425
143.712031,340,334.504751
119.195731,340,335.742366
361.735039,857,337.903109
69.594342,340,339.272492
413.720944,340,340.514757
194.745989,449,341.782344
223.175149,426,347.850346
378.105637,522,350.777844
186.539848,425,352.494181
273.195029,340,353.993694
474.623812,696,356.560285
1111.461987,1304,359.934771
934.625824,910,367.909418
165.175071,340,369.43168
498.364847,775,372.520031
534.668594,750,375.332798
202.835615,340,377.634828
796.484391,940,380.665067
461.089737,752,386.688006
965.918664,1555,391.18577
74.515535,648,394.203165
387.547201,715,397.217309
441.545187,933,401.0989
530.666748,836,407.534723
205.886878,414,409.220246
350.443165,414,410.736178
762.944235,836,412.828951
343.431434,512,414.441526
459.752494,697,416.250827
493.512778,732,421.695592
177.017939,340,423.026837
232.744023,340,424.236264
192.176244,340,425.410884
526.63158,817,427.895939
387.993924,452,429.162867
90.660397,340,430.306544
752.18875,1269,436.372522
130.799816,340,437.590412
421.44826,414,438.839739
921.862294,1438,442.514424
404.009854,572,444.511828
591.236839,518,446.527773
228.611279,340,448.525295
448.868109,804,454.686022
207.180336,340,455.951513
195.938191,340,457.209855
124.803825,414,458.53355
388.494075,885,460.870418
901.239654,1019,463.402645
319.116771,422,464.710025
396.369505,524,473.276644
277.133918,801,477.376117
694.417293,735,480.071113
159.120278,420,482.000216
100.81197,340,483.798568
308.120706,340,485.26237
287.855658,425,486.532348
230.736162,340,487.661441
528.529142,436,492.842434
145.708456,414,494.141677
591.234191,846,497.536092
249.744722,340,499.677824
1009.033375,947,503.322184
83.022842,340,504.689685
184.989678,513,506.043267
181.941908,340,507.232703
226.283371,340,511.806924
267.021262,340,513.000743
445.507008,496,514.523817
204.459431,416,515.766677
900.654109,841,517.817052
613.185527,819,520.39006
971.196768,836,522.855778
624.348151,886,529.983158
436.313688,340,531.215953
1228.82355,912,533.622012
271.474101,340,534.880941
311.287064,340,536.196012
553.373117,784,538.086551
660.311377,704,539.787025
624.554013,441,543.742128
