#{"t_start": 1762127389.5289655, "env_id": "None"}
r,l,t
131.619205,885,2.792684
333.51354,1421,5.045776
572.923302,825,6.435005
559.002599,1084,10.874524
192.540687,1663,13.416734
721.6057,2700,20.326503
487.166262,1494,23.135282
542.402861,1803,26.615224
41.444103,1063,32.221905
128.63755,677,33.880939
81.373669,731,35.596461
156.387406,875,37.271771
485.143458,814,39.180976
3.583333,494,43.25988
216.738469,1039,45.332772
304.139137,1676,48.907218
735.789606,2700,57.222078
1190.258155,2484,61.885241
207.894176,1767,68.132796
129.407943,1163,70.459106
599.038052,1922,77.162257
338.880509,1129,79.441093
539.420637,976,81.347328
765.51534,2700,88.659352
663.367307,1187,90.981205
343.990288,824,92.619015
465.925618,1439,97.792421
136.680336,804,100.129086
330.462015,522,101.715452
466.245123,1005,103.61777
556.80661,1214,108.793717
430.834271,786,111.04496
292.778997,786,112.808789
684.566171,1563,115.746133
767.51762,1692,121.471374
858.283283,1840,124.553283
604.906747,1173,126.937498
679.573474,2010,132.944002
126.417234,462,133.981419
730.106477,956,135.669009
658.549261,1182,140.113951
449.800778,1100,142.073973
638.598206,1998,145.374655
602.419332,979,149.813925
71.305988,684,151.132166
423.584523,1226,153.160681
297.649092,949,154.920756
689.746493,1771,161.587904
481.493553,1107,166.278011
641.785766,843,168.928387
320.863275,892,172.654042
243.334245,883,179.107748
835.725763,1331,182.502391
559.078902,1067,184.691374
375.31617,1572,191.879626
723.002433,1104,195.321966
701.348832,1773,201.278956
868.548302,1983,210.121315
268.573045,615,212.657839
339.509943,797,215.284559
307.700806,999,218.156119
404.376082,725,223.476351
457.909873,1178,226.656028
294.733844,741,228.895398
730.409041,1228,231.861397
450.300945,1086,238.472015
786.178236,1876,243.845033
641.560081,909,246.940237
466.641669,614,248.735209
1032.912107,1284,255.477934
1139.977856,1978,261.033895
422.222781,814,263.30149
646.092895,861,269.068406
589.462253,814,272.069187
573.497176,1196,275.162992
581.237199,898,278.21697
412.556488,875,284.191169
410.810864,1344,288.308315
560.648751,995,291.304348
413.836778,688,296.167697
900.554088,1273,304.603749
1093.650814,1149,310.151543
754.437297,1282,314.586136
598.905647,936,318.079005
919.26281,1559,329.85535
768.755518,1117,335.322112
394.680971,747,339.065015
698.467831,1052,343.554921
684.887439,805,351.258837
808.942646,1347,354.479984
418.38258,1108,358.908341
449.163402,717,369.529117
1246.192613,1530,377.425984
915.265937,2299,383.941829
757.82766,1324,395.858859
303.994439,665,400.304738
434.27582,694,407.022167
875.865663,1843,413.294631
620.384976,1287,423.526623
525.8561,938,426.795349
461.148026,836,430.804096
851.781088,1592,439.626505
447.510215,695,442.487807
390.297402,1001,446.818601
532.834854,986,454.345282
426.199234,761,457.91193
536.276839,798,464.417693
852.316007,1048,467.432631
394.991553,854,469.88794
721.426177,1323,473.500046
765.660683,771,480.402029
464.768462,715,482.926291
492.244511,519,485.629637
561.372821,909,489.117462
553.876685,585,492.080008
680.906789,1176,499.579061
690.827152,839,502.959524
1607.30304,1876,508.548596
597.182241,944,510.978052
1192.222224,1318,522.102809
537.907989,760,526.737602
1320.456482,1505,534.143142
85.679921,732,543.987775
560.128666,827,547.184861
552.509791,1329,551.944196
901.724902,1357,557.024357
951.400763,1465,564.902899
988.417996,1049,568.202013
645.435385,916,572.269233
674.117004,865,574.648742
461.138537,716,580.58142
375.813962,583,582.319664
768.985505,715,584.033415
610.725247,781,586.119138
564.51046,666,589.020558
450.434101,734,591.371224
431.14593,540,596.836675
965.790213,889,599.711152
746.731154,1005,603.702288
611.358586,786,607.248423
733.339283,1337,613.038425
678.997812,860,614.97564
599.642515,1127,617.418037
582.093526,625,618.820781
596.341901,728,620.361409
340.208245,670,624.318868
449.512022,507,625.574291
473.85897,710,626.975293
1013.468419,899,628.796161
1224.213636,1495,632.050461
792.446932,852,637.348677
617.089139,684,638.808815
693.650681,1050,641.338497
395.034199,550,642.678271
587.879063,633,644.345228
521.522435,619,648.658617
506.969004,762,650.205997
510.222384,619,651.574964
661.915489,889,653.303601
801.89219,760,654.837857
601.015916,719,656.315319
693.808957,871,660.569836
787.87036,878,662.443139
406.063926,680,663.978951
682.656929,831,665.689452
501.912148,926,667.527031
610.96953,808,671.737853
690.773025,952,673.4968
782.680372,776,675.035866
593.239408,820,676.712079
640.345667,764,678.310321
488.156263,519,682.224983
511.733077,761,683.74927
1065.919522,1088,686.012072
