#{"t_start": 1761796698.4788873, "env_id": "None"}
r,l,t
1561.899994,425,1.472357
685.282469,340,2.095225
-3224.708659,898,3.26546
-2286.951536,1392,4.558026
-2904.512068,865,5.838373
701.392739,441,6.68222
-1671.865648,757,8.629252
208.667245,834,10.185249
-623.909608,425,10.942357
301.182036,340,11.716565
3504.230956,757,13.005742
403.224105,414,13.823249
-0.209785,340,16.445876
-1928.143574,997,17.695469
-1222.73022,340,18.435187
-1935.876211,1337,19.88714
-3520.636189,1039,21.071713
1000.588235,1028,22.494469
1453.057338,414,23.284066
1122.963673,425,24.076483
-1457.38908,1132,25.564472
767.083769,757,26.574054
-1763.371538,805,29.685925
-263.063365,340,30.470066
-1957.705623,802,31.51281
-4048.911128,869,32.734744
352.633072,1339,34.097622
-1785.701705,1156,35.630679
812.544624,340,36.352138
-11.813093,1391,38.066969
-3709.180997,1850,41.591159
-724.410433,1436,43.114683
-1502.350456,1097,44.56034
2185.718456,888,45.832039
-1917.177692,1161,47.115921
-1903.398411,963,48.286253
565.880522,425,49.090012
263.94273,1058,50.530343
-928.335196,988,53.428588
1188.709492,340,54.197248
-1640.904986,915,55.310599
1345.850574,922,56.610426
-1411.251908,553,57.499621
-3622.367067,1067,58.948043
-5298.054301,1237,60.224033
-2630.647572,1427,61.65412
-1906.682916,1012,63.03334
-1722.919743,1090,66.177218
-6669.437639,1087,67.606421
32.512044,976,68.917882
972.224196,340,69.65689
108.648753,418,70.451535
223.413182,412,71.224451
-3133.495709,1003,72.398885
793.048873,340,73.108569
-1521.464687,340,73.853607
-1713.782765,849,74.944591
391.409078,425,75.720125
-1697.74833,765,76.78525
451.202533,340,77.50618
-744.459973,567,80.320543
-2008.279921,1045,81.572232
833.177483,414,82.346893
-87.450506,1027,83.73113
-170.219366,340,84.450924
473.784317,430,85.254236
-2951.730465,1141,86.49332
-1185.846421,512,87.299839
641.082443,340,88.025173
748.850023,340,88.767157
437.041818,995,90.188527
-2825.017447,1091,93.192795
684.964311,340,93.963442
-3441.890584,806,95.182766
-1858.011085,414,95.978695
1717.443833,414,96.777567
-1449.787655,861,98.062619
-764.142877,1497,99.5902
-1413.502018,1343,101.245693
-5084.932477,801,102.451782
-522.422056,414,103.241399
3749.326219,1075,105.07006
-1261.462912,1176,108.421007
-2369.37375,1605,109.982877
560.517915,414,110.777346
1192.312224,414,111.600008
-2226.829964,2700,113.897157
1084.276178,1332,115.471355
-2134.643948,1057,118.497923
91.011509,414,119.311201
-621.45655,961,120.459454
-962.830993,2274,122.378442
-1554.191153,690,123.42998
596.127371,414,124.201224
476.772908,419,125.024713
-3479.241742,1431,127.050652
1195.243236,355,127.939776
-4691.295747,1349,131.316286
2016.277149,453,132.141346
117.047613,340,132.889598
-2135.712931,863,134.05618
-1724.420701,968,135.238621
-2755.049121,776,136.407965
-1945.470475,895,137.747133
1353.430028,414,138.53172
-1496.278132,1347,140.011484
-823.030643,1493,143.53888
1061.308839,1221,144.941704
-1148.813059,1376,146.377637
960.57285,759,147.558143
-2210.410486,759,148.701386
128.107867,414,149.485301
1034.085006,340,150.219642
-1129.076788,1008,151.490898
509.578811,340,152.222394
-552.489834,875,153.579271
186.628039,353,154.321536
620.385317,340,155.054979
618.130137,340,157.595093
-1263.486464,340,158.382778
-470.570103,340,159.128269
-2177.892876,1339,160.823534
-4213.184271,455,161.754765
1864.118359,983,163.112334
573.991888,340,163.873598
-126.472361,903,165.300003
-163.629608,340,166.054308
-1702.07091,696,167.085087
1036.680815,347,167.814373
-1457.190084,1704,169.571373
-847.933053,594,172.485304
952.21314,340,173.247396
-3139.709735,916,174.445935
489.114879,340,175.174979
1741.203816,901,176.510578
1751.004207,773,177.720228
-2693.659021,1370,179.124202
270.250472,340,179.874544
-3567.279444,690,181.058122
706.603701,1018,182.487597
-1657.205512,1117,185.490994
-2175.968968,825,186.852687
279.218994,414,187.638321
-1419.344706,625,188.60383
166.618996,426,189.402434
557.238058,418,190.209266
-2974.497292,933,191.592179
-1262.59905,935,192.905346
-3744.261787,1194,194.275387
-110.22543,1286,195.728649
-3399.554113,764,196.945337
-358.826851,874,200.073306
832.270044,414,200.884041
-2366.116987,1258,202.286508
-200.145455,585,203.316754
1436.932471,1232,204.717211
26.206866,340,205.453818
1095.352673,348,206.213836
-700.282786,2662,208.619982
1343.778528,456,209.42286
-3031.906224,1075,212.52717
-1994.525674,813,213.595711
-5272.955233,1010,214.94655
1272.349177,428,215.714172
-405.036128,413,216.485488
-2230.611202,889,217.848444
-4371.664404,1019,219.24227
-149.670165,810,220.478066
356.451696,414,221.244083
-1616.824002,776,222.432552
-549.867811,1254,225.871442
-1799.894053,686,227.011734
-5150.7161,820,228.255474
-455.741025,962,229.571522
542.751646,595,230.599344
-139.529043,414,231.33861
-3837.522248,1220,232.886887
-846.784004,1158,234.204917
-2355.060134,879,235.479468
1181.921515,414,236.262532
1007.238486,340,238.804305
-1403.353364,628,239.829375
-1177.700654,1189,241.35499
87.010049,340,242.076192
-1537.729439,880,243.370569
-867.832309,909,244.658904
-530.488042,792,245.858186
-5.340385,340,246.583747
430.821162,1020,248.013611
-708.860746,414,248.785466
-3693.441311,1210,250.170661
40.782134,414,252.705242
1118.455882,546,253.763962
-67.436936,423,254.543495
-3709.758026,1445,256.020595
237.515665,420,256.911211
-874.69715,567,258.400096
-979.919487,888,259.911839
1206.074024,340,260.682656
1172.858763,613,261.756452
1324.160082,760,262.953591
-1176.105115,414,263.810959
454.081238,609,264.903655
-3556.096384,1949,268.587415
-3214.641235,1010,269.981961
-621.579455,423,270.787197
-745.405215,786,271.997839
-1108.544269,785,273.025467
945.882762,340,273.74853
