#{"t_start": 1761844257.714066, "env_id": "None"}
r,l,t
-2349.253468,414,1.929592
829.615083,420,2.672026
-1726.020203,834,3.700707
-1481.37686,417,4.470922
-4179.392527,1480,5.889697
-3312.380169,1427,9.935286
-2375.398687,615,11.101822
-4052.745588,1139,12.645242
-641.666391,414,13.53398
-4782.643658,1096,17.666769
-403.955742,369,18.532464
-2313.019166,1317,20.102121
-1279.456349,1456,21.984347
-2714.285694,1762,26.861805
-131.659195,413,27.822892
-2290.783253,1788,30.265495
485.622506,340,31.042998
-3033.872581,2103,36.494313
-72.941479,2483,39.904853
-2499.748598,2133,45.459567
214.305902,340,46.221493
-288.207456,710,47.607656
471.253174,340,48.387041
623.93815,340,49.221557
-1911.638829,1015,53.342609
9.042634,414,54.209857
-4564.072451,1894,56.111866
-3309.767718,2050,61.202024
-2717.227161,1485,63.153773
-2188.901847,998,64.638235
-713.378877,340,65.40717
-2114.94125,1544,70.43458
-3463.563817,1430,71.983673
-2944.201555,1792,76.688455
-1559.571054,1186,78.467046
-3798.140163,2061,80.484341
-1390.471496,1293,85.347167
284.675914,1296,87.360973
-2053.009473,1986,89.444017
-3141.755752,1064,94.077184
849.833595,1095,95.622819
-974.12177,410,96.459287
-6293.124709,1081,98.089756
-1616.256999,414,98.962976
-1671.355611,899,103.361538
-112.418648,418,104.221259
487.517362,414,105.061396
-3267.737939,625,106.409406
-3591.622639,1714,108.354115
500.947212,340,112.236114
-322.750962,1416,114.4992
-1709.268828,2429,116.878675
-2402.043722,1525,122.14899
-444.988381,340,122.97287
-2854.324148,1196,124.460122
-4025.924695,1174,129.135612
994.199663,340,130.082807
-2292.806954,1443,132.11423
-1696.984337,414,132.953263
-2593.853388,2700,138.454206
-4715.472617,949,139.952
-4504.923732,1059,141.534651
-1203.033924,414,142.358266
-5046.856365,1414,147.763853
-2254.144261,1052,149.775754
1208.730973,430,150.817726
20.716824,1937,153.012944
445.220037,1372,158.172302
561.850567,341,158.931396
-5811.957834,1209,160.734349
1069.205195,414,161.601901
-12.041846,340,162.430876
-312.088504,414,163.315143
509.604613,340,167.207756
-2880.793658,2164,169.390269
-1283.120741,2700,174.628911
-760.230042,1467,176.686395
-2452.004761,1120,178.348289
499.650694,340,179.125424
91.522226,2700,184.52183
-1943.125896,739,185.581595
-2383.354709,987,189.929775
-4044.822208,1425,191.720482
243.233715,425,192.582532
612.915122,340,193.400977
438.57701,414,194.266052
-3001.548179,748,195.382878
-3050.03517,1089,199.478673
-3412.85542,939,200.772066
-1329.605911,979,202.327497
500.317209,414,203.155046
-2436.890365,1332,208.048043
-2537.892904,1439,209.799988
-2734.053325,1234,212.541955
-91.878492,340,213.380696
233.767861,340,214.220881
-2187.279246,2700,220.380768
-2319.044393,1651,222.517343
-2684.766672,1027,226.886921
-1053.216265,418,227.779868
380.211467,340,228.577834
-4577.987708,2512,231.032659
-1389.09975,1306,235.453509
424.765027,340,236.258773
-76.685393,2275,238.547337
-3726.726815,655,242.476218
400.883078,792,243.843405
-2623.336708,1488,245.923699
-2765.603467,1682,250.468837
-1760.926889,414,251.41016
-924.279327,441,252.31903
-1261.380721,2126,254.50207
-3304.698886,1843,259.128438
-2697.091684,1284,260.760856
1709.559894,1477,262.785991
-2453.404314,1254,268.177436
92.795316,340,269.372207
697.454409,777,270.497161
-2805.963764,1527,272.32828
-2559.538181,1880,278.25415
-2130.642385,1891,280.230936
-567.672529,410,281.060421
-3147.006102,1417,285.534535
205.696438,340,286.315256
101.279486,340,287.130245
430.262578,441,288.007865
-2320.869851,1631,289.781491
1177.095765,426,290.623105
-1901.374929,1364,295.085492
795.591604,340,295.872874
-2287.026022,1318,297.593229
649.683281,340,298.384394
-4280.811891,1561,303.339876
-2941.219637,1887,305.419699
-136.917715,414,306.273465
959.720643,340,307.091693
226.611465,340,307.855287
-2959.821466,1681,312.641159
2499.852336,960,314.159347
-3840.471895,1562,315.904926
-2196.284174,1699,320.987196
-668.935511,414,321.857165
-4771.647845,1210,323.652118
-5171.433878,1584,328.130318
959.807003,414,329.056262
207.133067,414,329.934296
-1585.40633,436,330.813444
-1388.840987,414,331.680013
-3219.374577,2183,336.580845
-3320.937959,1363,338.226239
-2655.528327,1127,339.937693
487.665056,340,340.710611
99.603908,1651,345.260884
-732.526567,1077,346.894696
-2277.354265,1116,348.495281
-219.743638,431,349.347401
-249.061498,340,350.154306
651.133303,340,350.988964
-4328.472993,1822,355.755301
-3484.16618,1634,357.507796
-1525.699583,1298,361.78742
-3009.030983,1406,363.398004
-851.576546,933,364.829391
926.506992,340,365.607438
-870.983249,340,366.408731
685.843491,340,367.211882
-4662.85501,1711,371.981354
698.493899,340,372.759851
-478.743249,426,373.593709
-5200.994799,1780,375.880516
882.307055,340,379.440111
813.325822,340,380.271245
-1974.057894,1414,381.85004
-1193.838719,414,382.702361
-1365.807433,1188,384.183848
501.696025,720,388.320438
-311.019102,707,389.608495
-1995.135227,1113,391.284788
-1120.844477,439,392.16352
-185.448366,414,393.043084
-5233.184847,1554,397.9706
-2182.536616,1455,399.669081
702.702114,340,400.511771
-3754.343011,1883,405.257525
-5188.030918,2288,407.660734
-5075.413818,2190,412.623838
537.661251,340,413.501244
3028.247315,1410,415.47491
-20.822212,422,416.299634
-1607.728715,1365,418.237813
-1969.00404,1299,423.281002
-1701.883027,411,424.136216
-1797.810291,1508,425.904837
-2897.964659,1293,430.519229
-3779.572555,942,432.170754
-1762.442391,900,433.637136
268.350756,340,434.446601
-1354.771333,1199,435.94797
-2886.497102,1357,440.705668
666.732838,414,441.565976
-2115.460812,1462,443.189545
-2091.417333,950,444.680645
915.528575,340,445.480655
421.204003,643,449.581094
-1144.623952,340,450.404973
-2887.342741,1335,451.989122
-2071.556358,1008,453.923867
-694.229294,1408,458.805865
-1724.374469,864,460.151179
1187.719154,414,461.036131
-2062.294782,2700,466.411735
-4474.253343,997,468.004488
-2519.01515,823,469.341264
687.956655,340,470.09934
-659.722394,1725,474.611911
-386.312465,414,475.520245
16.090048,414,476.41363
-1221.394555,1806,478.767344
-1021.490282,1437,483.432098
-85.187029,340,484.304159
-1671.839512,1176,486.040281
-1230.22206,1118,487.639155
-3913.585175,982,489.194572
-244.955043,411,492.756607
-3725.545365,1715,495.016466
-1607.052482,2207,500.391529
-361.385292,340,501.242542
-777.758097,340,502.043978
-2379.278285,920,503.558299
-2644.487075,2220,505.788754
-4452.185992,2335,510.912932
-1658.679166,1535,512.653941
456.584986,340,513.447005
-1359.280858,414,517.030953
-3972.811012,1597,519.134193
-2988.801049,2131,521.837319
-888.163228,418,525.310498
-3593.236035,2109,527.930156
-1997.239129,1587,529.674866
-2377.94169,1295,534.20757
-2292.191824,1572,535.964909
-5121.727476,1445,540.686438
-3849.525366,1813,543.133907
-4872.377467,1302,544.998323
-4176.604911,850,548.952707
-1441.017745,1059,550.396357
-5806.637967,1936,552.855178
-3967.999256,1511,557.577358
-1627.543021,921,558.900589
832.179894,1448,561.092546
-170.556013,901,562.749394
715.026769,340,563.659254
-2996.724707,1522,568.481183
643.802164,344,569.272028
187.113726,423,570.142764
-1647.496522,1252,571.712526
-1834.200793,1343,576.050162
1476.330599,414,576.879309
-2768.165262,998,578.249049
-2986.440219,2051,583.052362
-4168.862234,889,584.58061
-3197.428775,2341,586.974504
314.990158,340,587.772807
548.756315,340,588.601551
-4926.879318,1593,593.501152
146.366993,735,594.810985
189.246672,506,595.814627
-553.652261,340,596.71401
685.965202,340,597.590208
455.081279,340,598.48513
-3421.380338,2579,604.420001
-2256.682459,2313,609.399078
-295.87988,423,610.23843
-1915.108982,1848,612.295051
661.800638,340,613.107328
-762.9009,1418,617.48031
-265.539574,1031,619.002945
-276.149784,340,619.779328
-129.117303,1945,622.33663
-1617.863189,1208,626.528626
-1725.064714,1301,628.308986
-5227.356106,1023,630.088642
546.343021,340,630.874472
-3079.245926,1189,635.176769
-1244.303801,1709,637.375186
-2063.824107,425,638.212432
-1449.648119,419,639.081371
-627.905114,424,639.962783
-1775.950669,1596,644.434209
1114.952393,1355,646.439441
522.863796,340,647.271484
560.252095,340,648.090534
-581.638609,1467,652.728753
-2869.440105,889,654.228436
-1708.999442,340,655.055857
-2977.772538,1479,656.850749
-2559.827803,1375,661.133187
-1509.08772,1243,663.017525
543.732594,1410,664.982018
-2794.750417,2216,670.396163
25.195011,414,671.251426
-2067.617906,1360,672.856164
-1695.597123,424,673.663038
474.43632,340,674.449227
973.563647,414,677.98973
-685.974185,340,678.864693
-5300.782866,2371,681.302156
-2549.479274,1397,685.676975
554.761848,414,686.701683
-2050.20815,1525,689.371187
243.563749,340,690.711007
-1503.915592,1405,692.770879
-2661.849594,794,697.499171
-2223.947096,2308,700.43076
-647.897798,416,701.706438
-3228.292692,1546,713.620351
-5589.500234,980,716.410351
-2692.87529,1271,719.021443
-1857.306783,1193,721.151367
-1873.05813,806,727.722706
-341.589829,697,729.406391
958.676645,340,730.213979
-2693.920915,414,731.07682
-3504.688838,1197,732.83009
-1934.095778,902,736.71612
36.999442,340,737.51885
-2339.945902,423,738.530225
-3207.050249,1684,740.919487
204.015189,340,741.699075
-4637.307331,1307,746.279964
-939.44602,1021,747.946687
-315.750074,414,748.815779
1089.122639,340,749.635175
-2289.924457,2441,754.726263
89.736247,414,755.612224
-336.760358,879,757.07056
262.582536,340,757.839337
960.495791,424,758.720339
-2220.60979,2338,763.770656
-1573.649086,2043,765.843204
-334.061601,1112,767.535505
1817.414209,1224,772.045523
-2827.308689,1990,774.011974
-4149.918634,1734,778.6298
