#{"t_start": 1761611730.7813106, "env_id": "None"}
r,l,t
-555.716754,414,1.934105
-1843.041738,1186,3.241007
-2075.909242,2700,5.588214
264.756795,340,6.28201
67.161623,340,7.045636
-2212.646868,414,7.930159
-560.138664,340,8.768753
-1796.728294,835,10.080533
-1985.702783,340,10.897848
750.540234,414,11.793559
-191.636144,423,12.707243
-340.889028,414,16.761183
-780.987582,424,17.782687
733.361578,340,18.693858
-1586.922348,1209,20.545948
-1464.702277,340,21.461272
-1972.552733,414,22.566351
-537.035246,2171,25.203635
913.430781,418,26.399082
-1426.982924,414,27.66771
-1220.01554,1788,30.475435
954.445284,414,31.771802
-834.26591,340,38.213246
-980.959384,414,39.45863
-1337.403573,340,40.687546
-487.665733,340,41.863766
-1999.835653,810,43.618817
-421.477514,436,45.009794
362.780467,340,46.412578
1317.152839,340,47.528252
-649.276543,1569,49.609354
-744.298197,340,50.656866
-1957.242541,1716,53.885397
-2653.085917,2039,61.222549
-925.11898,340,62.169414
-1626.183378,2076,64.833263
-1082.855615,2391,67.392957
-835.642425,340,68.233241
-361.160897,340,69.126289
-78.119837,340,70.051084
-238.160081,414,71.027835
-845.141283,420,72.000241
-15.929792,414,72.985573
-1145.964707,411,77.469653
-1811.462131,1472,79.610322
1038.260982,426,80.590312
910.470077,414,81.550289
-1956.529986,414,82.607565
-1906.290771,986,84.385789
-2077.919064,414,85.609442
37.419868,340,86.638066
-36.227927,340,87.745365
-2369.157641,414,88.973377
-757.69237,340,89.980589
69.330267,340,90.933821
20.731131,340,91.859243
-1713.013253,340,92.73323
476.090794,340,93.603243
-854.824132,840,94.865758
-1817.709214,1128,100.053138
-1148.327785,423,101.11602
-1646.31079,662,102.464377
-18.758595,340,103.415564
539.777608,340,104.284509
-1987.225167,2231,106.68057
293.733824,2700,109.616935
-639.952101,1060,116.387301
28.10315,340,117.351581
-1286.591987,414,118.309336
-2230.475726,1163,119.864209
764.723931,340,120.683472
-291.221892,425,121.599747
-1370.803887,340,122.450994
-1837.197818,2435,125.223554
289.30373,340,126.101136
-546.843814,2700,134.101739
-41.145236,414,135.202656
-1983.253439,2390,139.632465
412.183491,340,140.571976
143.411918,414,141.547086
-2530.784065,414,142.573397
-982.533523,1378,144.555512
-2280.284763,1580,146.486652
-1240.63325,340,151.124254
323.954715,340,152.148924
-137.750283,410,153.178507
-32.504119,423,154.180628
235.127863,340,155.119196
279.890601,414,156.193313
74.690586,414,157.207019
642.639186,414,158.230167
-628.368888,340,159.137384
147.091653,420,160.102848
813.75271,414,161.072231
-2332.597462,2700,165.073749
63.091475,340,166.240436
-2343.546598,1544,172.632358
-500.204834,414,173.68525
-636.804489,1273,176.079365
-859.503496,864,178.256021
-587.49553,340,179.609803
-1662.160465,452,180.917007
925.963805,417,182.336793
-3061.521196,2504,186.98546
-995.831193,340,188.155851
-1072.432527,414,189.189012
-2708.123033,1686,194.677151
-2315.999115,1036,196.212704
-46.08291,414,197.152689
-860.889525,427,198.111185
-1749.220721,1002,199.588851
-2324.101338,1462,201.433326
-997.438457,1099,203.062067
-759.772533,1257,204.861563
-1037.96114,1530,210.606741
-1633.034299,414,211.573739
-2513.029846,1290,213.457327
-896.079263,340,214.502892
-1213.157231,840,215.889314
367.482412,340,216.737813
-2177.81769,824,218.026627
-1696.487689,414,218.918429
-600.979973,439,219.839413
-264.517346,414,220.750055
-454.522984,425,221.684335
-506.163682,2700,227.685258
-1235.430899,2583,231.048771
-1372.545571,1515,233.249651
-2184.874465,2603,239.542162
254.803484,340,240.416074
-175.746992,340,241.348597
318.90802,350,242.323526
-552.853868,414,243.362144
-2567.266093,414,244.405812
-87.944333,414,245.433638
-913.498067,340,246.379292
-165.705537,1884,248.64806
-109.823147,340,249.519456
-2347.780905,1498,251.482137
-1934.056123,1605,256.893252
-1787.039722,1567,258.859449
50.819775,412,259.785694
783.551597,455,260.770137
-227.039068,340,261.644173
-2979.99904,2037,263.946047
931.740423,336,264.759202
-933.201759,340,265.604705
-3158.458083,2155,268.048534
1021.63128,414,272.080256
-941.658041,340,273.033961
108.278779,340,274.031867
948.881349,421,275.045676
-1726.117942,1003,276.506068
-355.063238,1414,278.264756
-1193.967524,1378,280.192725
114.22242,414,281.182119
-1927.240453,1526,283.133409
-69.451253,340,284.006992
96.010181,340,284.849508
166.689606,340,285.685024
-87.440165,422,290.048121
897.691214,340,291.192042
-291.646906,340,292.268238
364.796455,340,293.210574
-1931.363992,1502,295.20793
-819.063474,1072,297.330648
-762.529309,340,298.605486
-1599.963151,850,300.104677
-357.852069,425,301.095193
1216.979636,450,302.128832
-363.536685,340,303.058585
1664.522415,974,304.560595
-658.45022,340,305.404842
-2608.413504,420,306.327245
-1043.08807,340,310.513016
-2000.580826,426,311.505363
-1350.855725,1333,313.20596
-1901.576997,1075,314.648659
-1626.616397,2271,317.015698
-69.175661,340,317.814967
317.357499,444,318.757075
251.778292,340,319.621679
-1307.91025,1439,321.388867
1148.720282,414,325.458529
-676.850146,340,326.381837
1.888561,424,327.339237
-450.230612,413,328.239798
-4427.179826,1986,330.456977
369.451768,414,331.33519
-555.444825,340,332.187361
173.219928,414,333.109417
-580.791333,414,334.023473
501.594117,340,334.878606
35.600247,340,335.734293
-1469.294102,2407,338.308265
-1042.491718,414,342.258105
-1636.211063,1065,344.119865
-1477.454156,1418,346.065061
307.82463,414,346.930315
-1386.383337,1368,348.623243
-1248.94652,1633,350.490505
-50.416394,340,351.407703
-998.105389,647,352.590232
-2551.806507,886,356.950673
-45.433674,414,357.944453
-2447.117797,1011,359.435784
